# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 01 01 00.0 01.50  2922.00000  2922.06250  2.333    9 1
1940 01 01 03.0 04.50  2922.12500  2922.18750  2.333    9 1
1940 01 01 06.0 07.50  2922.25000  2922.31250  1.667    6 1
1940 01 01 09.0 10.50  2922.37500  2922.43750  2.000    7 1
1940 01 01 12.0 13.50  2922.50000  2922.56250  2.333    9 1
1940 01 01 15.0 16.50  2922.62500  2922.68750  2.000    7 1
1940 01 01 18.0 19.50  2922.75000  2922.81250  2.667   12 1
1940 01 01 21.0 22.50  2922.87500  2922.93750  3.333   18 1
1940 01 02 00.0 01.50  2923.00000  2923.06250  3.667   22 1
1940 01 02 03.0 04.50  2923.12500  2923.18750  4.000   27 1
1940 01 02 06.0 07.50  2923.25000  2923.31250  2.667   12 1
1940 01 02 09.0 10.50  2923.37500  2923.43750  2.333    9 1
1940 01 02 12.0 13.50  2923.50000  2923.56250  2.667   12 1
1940 01 02 15.0 16.50  2923.62500  2923.68750  1.333    5 1
1940 01 02 18.0 19.50  2923.75000  2923.81250  0.667    3 1
1940 01 02 21.0 22.50  2923.87500  2923.93750  3.333   18 1
1940 01 03 00.0 01.50  2924.00000  2924.06250  2.000    7 1
1940 01 03 03.0 04.50  2924.12500  2924.18750  3.667   22 1
1940 01 03 06.0 07.50  2924.25000  2924.31250  3.667   22 1
1940 01 03 09.0 10.50  2924.37500  2924.43750  3.333   18 1
1940 01 03 12.0 13.50  2924.50000  2924.56250  5.333   56 1
1940 01 03 15.0 16.50  2924.62500  2924.68750  7.667  179 1
1940 01 03 18.0 19.50  2924.75000  2924.81250  5.000   48 1
1940 01 03 21.0 22.50  2924.87500  2924.93750  4.000   27 1
1940 01 04 00.0 01.50  2925.00000  2925.06250  3.000   15 1
